experiment_id,instrument,OpenTS per 5 minutes,CloseTS per 5 minutes,duration in hours,duration in minutes,job_id,amount,lowest_v,highest_v,profit_v,profit_p,max_DD,open_price,close_price,tp_p,Losing streak,Winning streak,Transform HH,Transform day/night,WEST,ASIA,total nr of trades,AVG trade duration,AVG nov-dec,AVG jan-may,AVG june-oct,profitable trades,Losing trades,,,
f3aef9c8-6bf0-4226-8478-a1505e87d281,PYRUSDT,2022-05-12 13:40,2022-05-12 14:10,0:30,30,,"9,348",9077.42,9603.64,143.74,1.54,-2.89,3.55,3.61,3,0,8,13,1,,,,,,,,,,,,
f3aef9c8-6bf0-4226-8478-a1505e87d281,PYRUSDT,2022-05-12 15:30,2022-05-12 16:50,1:20,80,,"9,491",8839.34,9591.63,-67.92,-0.72,-6.87,3.53,3.51,3,1,0,15,1,,,,,,,,,,,,
f3aef9c8-6bf0-4226-8478-a1505e87d281,PYRUSDT,2022-05-12 17:50,2022-05-12 18:00,0:10,10,,"9,423",9321.89,9706.05,275.42,2.92,-1.08,3.99,4.11,3,0,1,17,1,,,,,,,,,,,,
f3aef9c8-6bf0-4226-8478-a1505e87d281,PYRUSDT,2022-05-12 18:00,2022-05-12 18:20,0:20,20,,"9,699",9434,9989.74,283.47,2.92,-2.73,4.14,4.26,3,0,2,18,1,,,,,,,,,,,,
f3aef9c8-6bf0-4226-8478-a1505e87d281,PYRUSDT,2022-05-12 19:10,2022-05-12 19:20,0:10,10,,"9,982",9950.9,10281.71,291.76,2.92,-0.31,4.18,4.31,3,0,3,19,1,,,,,,,,,,,,
f3aef9c8-6bf0-4226-8478-a1505e87d281,PYRUSDT,2022-05-12 19:20,2022-05-12 19:30,0:10,10,,"10,274",10241.92,10582.22,300.28,2.92,-0.31,4.21,4.34,3,0,4,19,1,,,,,,,,,,,,
f3aef9c8-6bf0-4226-8478-a1505e87d281,PYRUSDT,2022-05-12 19:30,2022-05-12 21:20,1:50,110,,"10,574",9480.1,10591.05,-139.2,-1.32,-10.35,4.28,4.23,3,1,0,19,1,,,,,,,,,,,,
f3aef9c8-6bf0-4226-8478-a1505e87d281,PYRUSDT,2022-05-12 22:10,2022-05-12 22:30,0:20,20,,"10,435",10376.03,10748.14,304.99,2.92,-0.57,4.07,4.19,3,0,1,22,1,,,,,,,,,,,,
f3aef9c8-6bf0-4226-8478-a1505e87d281,PYRUSDT,2022-05-12 23:00,2022-05-13 0:00,1:00,60,,"10,740",10131.45,10914.81,-198.74,-1.85,-5.67,4.11,4.04,3,1,0,23,1,,,,,,,,,,,,
f3aef9c8-6bf0-4226-8478-a1505e87d281,PYRUSDT,2022-05-13 2:10,2022-05-13 2:40,0:30,30,,"10,541",10126.35,10857.57,308.1,2.92,-3.94,4.14,4.26,3,0,1,2,0,,,,,,,,,,,,
f3aef9c8-6bf0-4226-8478-a1505e87d281,PYRUSDT,2022-05-13 3:30,2022-05-13 3:50,0:20,20,,"10,849",10741.84,11174.91,317.1,2.92,-0.99,4.36,4.49,3,0,2,3,0,,,,,,,,,,,,
f3aef9c8-6bf0-4226-8478-a1505e87d281,PYRUSDT,2022-05-13 6:10,2022-05-13 6:20,0:10,10,,"11,167",11020.41,11501.53,326.37,2.92,-1.31,4.86,5.01,3,0,3,6,0,,,,,,,,,,,,
f3aef9c8-6bf0-4226-8478-a1505e87d281,PYRUSDT,2022-05-13 7:30,2022-05-13 7:40,0:10,10,,"11,493",11492.9,11837.69,335.91,2.92,-1.58E-14,5.2,5.36,3,0,4,7,0,,,,,,,,,,,,
